Wavelength (nm),f2_blank,Pt_abs_F1,Pt_abs_F2,Pt_abs_F3,Pt_abs_F4,Pt_abs_F5,Pt_abs_F6,Pt_abs_F7
761.4927368,0.007487547,-0.013362455,-0.002476374,-0.026861729,-0.012086625,-0.012320342,0.002050446,-0.004410859
760.9996338,-0.052935749,-0.008578033,-0.032791886,-0.024094155,0.043534275,-0.059269369,-0.017455557,-0.044479683
760.5064697,-0.072664618,-0.049427282,-0.015945947,-0.010782997,0.034419551,0.007562111,-0.011191672,-0.00118262
760.0132446,-0.020030854,0.005834654,-0.018738694,-0.003687752,0.036120139,-0.042244356,-0.007124901,-0.053540021
759.4846191,0.021057276,0.020128362,0.02474039,0.022814535,-0.031021394,0.000919173,-0.025692591,-0.032485783
758.9910889,-0.011640085,0.012721158,-0.034345295,-0.037110113,0.019847743,-0.013572907,-0.03073266,0.009334709
758.4975586,-0.067907646,0.00438823,0.015560773,-0.00719523,0.010939225,0.00721916,0.028680379,0.027551305
758.0039063,-0.033079352,-0.017904358,-0.010872327,-0.047183484,-0.03858063,0.006046352,-0.034803122,0.01890124
757.5101929,-0.025575852,0.021959562,-0.004873184,-0.019199546,-0.030381367,-0.07087218,-0.022302033,-0.04292151
757.0163574,-0.007941552,-0.058102213,0.006662456,-0.009205474,0.061643478,-0.025936415,-0.006411915,-0.025056191
756.4871826,0.000186367,-0.060165063,-0.000971087,-0.017095296,0.033179462,0.068935737,-0.012973909,0.014403731
755.9931641,-0.01648185,-0.008627368,-0.038515396,0.011817493,-0.040920608,0.002158446,0.048359688,0.032361083
755.4990845,-0.028377,0.016615786,0.02185853,0.020531273,0.064749271,0.010251133,0.086914629,-0.051943246
755.0048828,-0.051580571,-0.008637519,-0.012993706,-0.009149867,0.034728006,-0.024952574,-0.054481164,-0.050267633
754.5106812,-0.031712603,-0.001627968,0.018896859,-0.041927263,-0.015295791,0.006634804,0.016636522,-0.023761762
754.0162964,-0.038740527,-0.005199272,-0.056366857,-0.024015881,-0.024795197,-0.00832274,-0.04164442,0.023725787
753.4865112,-0.077267312,-0.063634291,-0.035798348,-0.051371612,-0.02178031,-0.038960427,-0.009231779,0.009827775
752.9920044,-0.02215619,0.055688094,-0.032031227,0.042291489,0.052665871,-0.030037327,0.023084303,-0.003025653
752.4973145,-0.011481993,-0.057015326,-0.012704093,-0.032843731,0.020939745,0.008834857,-0.019226639,0.042360518
752.0025635,-0.05876302,0.009067266,-0.043560706,-0.055200253,-0.034035642,0.073123887,-0.021732988,-0.005173079
751.5078125,-0.05850935,0.016587144,-0.039697625,-0.033082232,0.019961698,-0.026763216,-0.025073733,-0.043030914
751.0129395,-0.021350088,-0.039887905,-0.004193869,-0.045535803,-0.012846411,-0.026653336,0.018834434,0.018080968
750.4825439,-0.03700377,0.002181106,-0.067147352,-0.027176974,0.016088873,0.005819831,-0.037892684,-0.015634874
749.9874878,-0.041675843,-0.001872225,-0.019047799,0.006256447,0.015746694,-0.056482382,0.070489891,-0.000321023
749.4923096,-0.041412368,-0.029219307,0.008462392,-0.058519036,0.033499029,-0.045103669,-0.009927454,-0.041206229
748.9970703,0.008206248,-0.025613384,0.00243411,-0.049036831,0.009844987,-0.01704089,0.002393763,0.026614301
748.501709,-0.037923049,0.011399436,-0.029394927,-0.015119575,-0.013263293,0.023905391,-0.003198056,-0.017961239
748.0062256,-0.031711929,-0.030934909,-0.006732006,-0.011615941,-0.005936517,-0.02235008,0.006448461,-0.041152172
747.5107422,-0.031501133,-0.004048482,-0.01989107,-0.012996922,0.00509815,-0.02710407,0.002293615,-0.046446379
